name,description,link,facebook,linkedin,instagram,youtube,website
Pi Alpha Alpha Penn State Chapter,Members of Pi Alpha Alpha are recognized for their outstanding scholarship and accomplishment in public affairs and administration.,https://orgcentral.psu.edu/organization/pi_alpha_alpha,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Pi Beta Phi,"The mission of Pi Beta Phi Fraternity for Women is to promote friendship, develop women of intellect and integrity, cultivate leadership potential and enrich lives through community service.",https://orgcentral.psu.edu/organization/pi-beta-phi,N/A,N/A,https://www.instagram.com/psupiphi,N/A,https://go.microsoft.com/fwlink
Pi Kappa Phi,Extraordinary Leaders. Uncommon Opportunities.,https://orgcentral.psu.edu/organization/pi-kappa-phi,N/A,N/A,http://www.instagram.com/PiKapp_PSU,N/A,https://go.microsoft.com/fwlink
Pi Mu Mu,Pi Mu Mu aims to support the academic and extracurricular endeavors of Premedical-Medical students at The Pennsylvania State University who are planning to attend Sidney Kimmel Medical College at Thomas Jefferson University.,https://orgcentral.psu.edu/organization/pimumu,N/A,N/A,https://www.instagram.com/pennstatepmm,N/A,http://sites.psu.edu/pimumu
Pi Sigma Alpha: National Political Science Honors Society,"To further the scholastic goals of its membership in the fields of study of affiliated majors, integrate its membership into the Penn State community through service, and provide a forum in which students can discuss political science issues.",https://orgcentral.psu.edu/organization/pisigmaalpha,N/A,N/A,https://www.instagram.com/pisigmaalphapsu,N/A,https://sites.psu.edu/pisigmaalpha
Pillar,"Pillar is a welcoming environment for students to get involved in Penn State Dance Marathon by means of fundraising, providing support for the Four Diamonds fund and building a sound community within a large university.",https://orgcentral.psu.edu/organization/pillarftk,https://www.facebook.com/Pillar-Benefitting-THON-150995741743052,N/A,https://www.instagram.com/pillar_psu,N/A,https://go.microsoft.com/fwlink
Planned Parenthood Generation Action,"PPGen@PSU serves the Penn State community by making efforts to change stigma on topics such as abortion, racial and gender equality, and more as well as by making headway on the issues of reproductive health on campus for students.",https://orgcentral.psu.edu/organization/ppgenpsu,https://www.facebook.com/ppgenpsu,N/A,https://www.instagram.com/ppgenpsu,N/A,http://sites.psu.edu/ppgenpsu
Plant Biology Graduate Student Association,"PBGSA encompasses students in Plant Biology Intercollegiate degree program and works for arranging social, cultural, and career development events for the community for all round development of members and increase their outreach.",https://orgcentral.psu.edu/organization/pbgsa,N/A,N/A,N/A,N/A,https://sites.psu.edu/pbgsa
Plant Institute Scholars,"We bring together plant scientists from diverse backgrounds to exchange ideas, collaborate, and advance research. Through networking and academic discussions, we foster a supportive community that empowers the next generation to tackle global challenges",https://orgcentral.psu.edu/organization/plantscholars,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Plant Pathology Association,Provides its members with a platform to explore and promote plant pathology within the community.,https://orgcentral.psu.edu/organization/plant-pathology-association,N/A,N/A,N/A,N/A,http://plantpath.psu.edu/graduate
